,SalePrice,LotFrontage,LotArea,TotalBsmtSF,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,GarageCars,MoSold,YrSold,YearBuilt,PoolArea
123,153900,55.0,7892,1199,899,1199,0,0,1199,2,0,2,1,5,530,2,3,2008,1993,0
125,84500,60.0,6780,520,30,520,0,234,754,1,0,2,1,5,0,0,6,2006,1935,0
126,128000,,4928,1078,958,958,0,0,958,2,0,2,1,5,440,2,2,2007,1976,0
127,87000,55.0,4388,672,556,840,0,0,840,1,0,3,1,5,0,0,6,2007,1930,0
129,150000,69.0,8973,1008,413,1053,0,0,1053,1,1,3,1,6,750,2,7,2006,1958,0
131,244000,,12224,992,297,1022,1032,0,2054,2,1,3,1,7,390,2,7,2009,2000,0
134,180000,78.0,10335,1461,891,1721,0,0,1721,2,1,3,1,7,440,2,7,2006,1968,0
136,143000,,10355,1214,519,1214,0,0,1214,2,0,3,1,5,318,1,7,2007,1967,0
137,171000,82.0,11070,1907,1907,1959,0,0,1959,3,0,5,2,9,766,3,7,2006,1988,0
138,230000,73.0,9066,1004,336,1004,848,0,1852,2,1,3,1,7,660,3,12,2008,1999,0
139,231500,65.0,15426,928,107,928,836,0,1764,2,1,3,1,7,470,2,8,2009,1997,0
143,204000,78.0,10335,1490,811,1501,0,0,1501,2,0,3,1,6,577,2,6,2009,1999,0
145,130000,24.0,2522,970,970,970,739,0,1709,2,0,3,1,7,380,2,4,2006,2004,0
146,105000,51.0,6120,715,506,875,0,0,875,1,0,2,1,5,180,1,11,2009,1931,0
148,141000,63.0,7500,1080,400,1080,0,0,1080,1,0,3,1,6,0,0,4,2008,2004,0
149,115000,,6240,896,896,896,448,0,1344,1,0,3,1,7,240,1,4,2006,1936,0
150,122000,120.0,10356,969,253,969,0,0,969,1,1,3,1,5,440,2,1,2007,1975,0
151,372402,107.0,13891,1710,310,1710,0,0,1710,2,0,2,1,6,866,3,1,2008,2007,0
154,125000,84.0,11340,1200,1200,1200,0,0,1200,1,0,4,1,7,312,1,3,2006,1923,0
157,269500,92.0,12003,774,774,774,1194,0,1968,2,1,4,1,8,680,3,5,2010,2009,0
158,254900,100.0,12552,991,769,991,956,0,1947,2,1,3,1,8,678,2,5,2010,2004,0
160,162500,,11120,1232,572,1232,0,0,1232,2,0,3,1,6,516,2,6,2008,1984,0
161,412500,110.0,13688,1572,556,1572,1096,0,2668,2,1,3,1,10,726,3,3,2008,2003,0
162,220000,95.0,12182,1541,340,1541,0,0,1541,2,0,3,1,7,532,2,5,2010,2005,0
164,152000,40.0,5400,1149,779,1149,467,0,1616,2,0,3,1,5,216,1,10,2007,1926,0
165,127500,62.0,10106,644,112,808,547,0,1355,2,0,4,2,6,0,0,9,2008,1940,0
166,190000,,10708,1617,470,1867,0,0,1867,1,0,2,1,7,303,1,11,2009,1955,0
168,183500,62.0,8244,840,840,840,880,0,1720,2,1,3,1,7,440,2,5,2007,2004,0
169,228000,,16669,1686,1686,1707,0,0,1707,2,1,2,1,6,511,2,1,2006,1981,0
172,239000,44.0,5306,1064,354,1064,703,0,1767,2,0,2,1,5,504,2,6,2006,1987,0
173,163000,80.0,10197,1362,700,1362,0,0,1362,1,1,3,1,6,504,2,6,2008,1961,0
174,184000,47.0,12416,1606,0,1651,0,0,1651,2,0,3,1,7,616,2,11,2008,1986,0
175,243000,84.0,12615,1202,725,2158,0,0,2158,2,0,4,1,7,576,2,6,2007,1950,0
176,211000,97.0,10029,1151,320,1164,896,0,2060,2,1,4,1,8,521,2,9,2007,1988,0
177,172500,,13650,1052,554,1252,668,0,1920,2,0,4,1,8,451,2,7,2006,1958,0
178,501837,63.0,17423,2216,312,2234,0,0,2234,2,0,1,1,9,1166,3,7,2009,2008,0
179,100000,60.0,8520,968,968,968,0,0,968,1,0,2,1,5,480,2,7,2007,1923,0
180,177000,,2117,756,320,769,756,0,1525,2,1,3,1,5,440,2,6,2007,2000,0
181,200100,54.0,7588,793,441,901,901,0,1802,1,1,4,1,9,216,1,7,2006,1920,0
182,120000,60.0,9060,0,0,1340,0,0,1340,1,0,3,1,7,252,1,6,2007,1957,0
183,200000,63.0,11426,1362,1362,1362,720,0,2082,2,1,3,1,6,484,2,6,2008,2003,0
185,475000,90.0,22950,1107,1107,1518,1518,572,3608,2,1,4,1,12,840,3,6,2006,1892,0
186,173000,,9947,1188,577,1217,0,0,1217,2,0,3,1,6,497,2,6,2009,1990,0
187,135000,60.0,10410,660,660,808,704,144,1656,2,1,3,1,8,180,1,8,2009,1916,0
188,153337,64.0,7018,1086,0,1224,0,0,1224,0,2,2,2,6,528,2,6,2009,1979,0
190,315000,70.0,10570,853,556,1549,1178,0,2727,2,1,3,1,10,440,2,12,2007,1932,0
191,184000,,7472,725,99,725,754,0,1479,1,1,4,1,7,484,2,6,2007,1972,0
193,130000,24.0,2522,970,970,970,739,0,1709,2,0,3,1,7,380,2,5,2006,2004,0
194,127000,60.0,7180,864,474,864,0,0,864,1,0,3,1,5,352,1,5,2008,1972,0
195,148500,24.0,2280,855,289,855,601,0,1456,2,1,3,1,7,440,2,7,2009,1976,0
196,311872,79.0,9416,1726,600,1726,0,0,1726,2,0,3,1,8,786,3,9,2007,2007,0
197,235000,174.0,25419,1360,140,1360,1360,392,3112,2,0,4,1,8,795,2,3,2006,1918,512
198,104000,92.0,5520,755,755,929,929,371,2229,1,0,5,1,8,0,0,7,2009,1912,0
199,274900,76.0,9591,1713,625,1713,0,0,1713,2,0,3,1,7,856,3,1,2009,2004,0
200,140000,80.0,8546,1121,1121,1121,0,0,1121,2,0,2,1,5,440,2,3,2010,2003,0
201,171500,75.0,10125,1196,276,1279,0,0,1279,2,0,3,1,6,473,2,2,2008,1977,0
202,112000,50.0,7000,617,0,865,445,0,1310,2,0,2,1,6,398,1,5,2006,1924,0
203,149000,,4438,848,186,848,0,0,848,1,0,1,1,3,420,2,1,2008,2004,0
204,110000,50.0,3500,720,408,720,564,0,1284,1,1,2,1,5,240,1,4,2009,1947,0
207,141000,,12493,1100,375,1100,0,0,1100,1,0,3,1,6,312,1,4,2008,1960,0
211,186000,83.0,10420,1212,1176,1212,0,0,1212,2,0,3,1,6,460,2,3,2010,2009,0
212,252678,72.0,8640,900,78,932,920,0,1852,2,1,3,1,7,644,2,7,2009,2009,0
215,134450,72.0,10011,1070,710,1236,0,0,1236,1,0,2,1,6,447,1,5,2006,1957,0
216,210000,65.0,8450,1436,490,1436,0,0,1436,2,0,3,1,8,484,2,4,2008,2004,0
217,107000,57.0,9906,686,686,810,518,0,1328,1,0,3,1,8,210,1,9,2006,1925,0
218,311500,,15660,798,457,1137,817,0,1954,1,1,3,1,8,431,2,5,2008,1939,0
219,167240,43.0,3010,1248,1232,1248,0,0,1248,2,0,2,1,5,438,2,3,2006,2005,0
220,204900,73.0,8990,1498,1498,1498,0,0,1498,2,0,2,1,5,675,2,4,2006,2006,0
221,200000,,8068,1010,1010,1010,1257,0,2267,2,1,4,1,8,390,2,12,2009,2002,0
222,179900,85.0,11475,713,163,811,741,0,1552,2,1,3,1,6,434,2,2,2006,1975,0
225,112000,21.0,1680,630,630,630,672,0,1302,2,1,3,1,6,280,1,5,2009,1971,0
228,125000,70.0,8521,912,70,912,0,0,912,1,0,3,1,5,336,1,5,2010,1967,0
229,192500,43.0,3182,1373,1357,1555,0,0,1555,2,0,2,1,7,430,2,5,2009,2005,0
230,148000,73.0,8760,1194,1194,1194,0,0,1194,1,0,3,1,6,312,1,4,2010,1959,0
232,94500,21.0,1680,483,483,483,504,0,987,1,1,2,1,5,288,1,6,2006,1972,0
235,89500,21.0,1680,483,125,483,504,0,987,1,1,2,1,5,264,1,8,2008,1971,0
237,194500,,9453,996,594,1014,730,0,1744,2,1,3,1,7,457,2,2,2010,1993,0
239,113000,52.0,8741,735,641,798,689,0,1487,1,1,3,1,7,220,1,4,2010,1945,0
240,262500,75.0,9000,1566,488,1566,0,0,1566,2,0,3,1,7,750,2,4,2010,2008,0
245,241500,80.0,10400,1845,916,1872,0,0,1872,2,0,3,1,6,604,2,6,2006,1988,0
247,140000,75.0,11310,1367,1367,1375,0,0,1375,1,0,2,1,5,451,2,6,2006,1954,0
249,277000,,159000,1444,747,1444,700,0,2144,2,0,4,1,7,389,2,6,2007,1958,0
251,235000,44.0,4750,1573,0,1625,0,0,1625,2,0,2,1,5,538,2,12,2007,2006,0
252,173000,65.0,8366,798,798,798,842,0,1640,2,1,3,1,6,520,2,12,2008,2004,0
253,158000,85.0,9350,1302,452,1302,0,0,1302,2,0,3,1,7,309,1,10,2007,1964,0
254,145000,70.0,8400,1314,392,1314,0,0,1314,1,0,3,1,5,294,1,6,2010,1957,0
255,230000,66.0,8738,975,975,1005,1286,0,2291,2,1,4,1,8,429,2,2,2006,1999,0
256,207500,64.0,8791,864,361,864,864,0,1728,2,1,3,1,7,673,2,5,2008,2003,0
259,97000,70.0,12702,0,0,882,0,0,882,1,0,2,1,4,308,1,12,2008,1956,0
260,176000,120.0,19296,1362,0,1382,0,0,1382,1,0,3,1,6,884,2,5,2009,1962,0
261,276000,69.0,9588,1482,1482,1482,1092,0,2574,2,1,3,1,10,868,3,11,2007,2007,0
262,151000,88.0,8471,506,0,1212,0,0,1212,1,0,3,1,6,492,2,7,2006,1977,0
263,130000,50.0,5500,926,0,926,0,390,1316,1,0,3,1,6,484,2,4,2010,1929,0
264,73000,30.0,5232,680,680,764,0,0,764,1,0,2,1,4,504,2,6,2008,1925,0
265,175500,78.0,12090,1422,606,1422,0,0,1422,2,0,3,1,7,576,2,6,2008,1981,0
266,185000,70.0,11207,802,88,802,709,0,1511,2,1,3,1,8,413,2,6,2006,1997,0
267,179500,60.0,8400,720,342,1052,720,420,2192,2,1,4,1,8,240,1,7,2008,1939,0
268,120500,71.0,6900,740,212,778,0,0,778,1,0,2,1,4,924,1,2,2008,1940,0
269,148000,,7917,1143,392,1113,0,0,1113,1,1,3,1,6,504,1,5,2007,1976,0
270,266000,84.0,10728,1095,1095,1095,844,0,1939,2,1,3,1,8,1053,3,8,2006,2006,0
271,241500,73.0,39104,1385,96,1363,0,0,1363,1,0,2,1,5,439,2,4,2008,1954,0
272,290000,92.0,11764,1152,628,1164,1106,0,2270,2,1,4,1,9,671,3,4,2010,1999,0
275,205000,55.0,7264,952,952,952,596,0,1548,2,1,3,1,5,672,2,10,2009,1925,0
276,201000,129.0,9196,1560,1560,1560,0,0,1560,2,0,3,1,7,573,2,4,2010,2003,0
277,141000,140.0,19138,864,744,864,0,0,864,1,0,2,1,4,400,2,6,2010,1951,0
278,415298,107.0,14450,2121,2121,2121,0,0,2121,2,1,3,1,8,732,3,5,2007,2006,0
279,192000,83.0,10005,1160,768,1156,866,0,2022,2,1,4,1,8,505,2,3,2008,1977,0
280,228500,82.0,11287,807,386,1175,807,0,1982,2,1,3,1,7,575,2,1,2007,1989,0
281,185000,60.0,7200,1262,357,1262,0,0,1262,2,0,2,1,5,572,2,5,2006,2006,0
282,207500,34.0,5063,1314,410,1314,0,0,1314,2,0,2,1,6,626,2,4,2009,2007,0
283,244600,74.0,9612,1468,1468,1468,0,0,1468,2,0,3,1,6,898,3,12,2009,2008,0
286,159000,77.0,9786,912,312,1085,649,0,1734,1,1,3,1,7,440,2,6,2006,1962,0
287,88000,,8125,858,244,858,0,0,858,1,0,3,1,5,0,0,6,2006,1971,0
288,122000,,9819,882,432,900,0,0,900,1,0,3,1,5,280,1,2,2010,1967,0
290,233230,120.0,15611,1079,1079,1079,840,0,1919,2,1,3,1,8,685,2,7,2006,2006,0
292,131000,60.0,11409,768,476,1148,568,0,1716,1,1,3,1,8,281,1,1,2009,1949,0
293,235000,,16659,795,0,1468,795,0,2263,2,1,3,1,9,539,2,3,2006,1977,0
294,167000,80.0,9600,1416,131,1644,0,0,1644,1,0,3,1,7,418,2,10,2009,1953,0
295,142500,37.0,7937,1003,184,1003,0,0,1003,1,0,3,1,6,588,2,3,2006,1984,0
297,239000,66.0,7399,975,326,975,975,0,1950,2,1,3,1,7,576,2,6,2007,1997,0
298,175000,90.0,11700,702,143,1041,702,0,1743,1,2,3,1,7,539,2,6,2007,1968,0
300,157000,90.0,15750,1165,324,1336,0,0,1336,1,0,2,1,5,375,1,6,2006,1953,0
301,267000,66.0,16226,1028,747,1210,1242,0,2452,2,1,4,1,9,683,2,5,2007,1998,0
302,205000,118.0,13704,1541,1541,1541,0,0,1541,2,0,3,1,6,843,3,1,2006,2001,0
303,149900,70.0,9800,894,0,894,0,0,894,1,0,3,1,5,552,2,7,2006,1972,0
304,295000,87.0,18386,1470,1470,1675,1818,0,3493,3,0,3,1,10,870,3,5,2008,1880,0
305,305900,80.0,10386,2000,536,2000,0,0,2000,2,0,3,1,8,888,3,7,2007,2004,0
306,225000,116.0,13474,700,0,1122,1121,0,2243,2,1,4,1,8,746,3,6,2007,1990,0
307,89500,,7920,319,319,1035,371,0,1406,1,0,3,1,6,0,0,3,2008,1920,0
309,360000,90.0,12378,1896,622,1944,0,0,1944,2,0,3,1,8,708,3,11,2006,2003,0
310,165600,,7685,697,179,697,804,0,1501,2,1,3,1,6,420,2,5,2006,1993,0
311,132000,50.0,8000,972,292,972,0,0,972,1,0,2,1,5,240,1,5,2009,1948,0
312,119900,65.0,7800,793,286,793,325,0,1118,1,0,3,1,5,410,2,5,2006,1939,0
313,375000,150.0,215245,2136,80,2036,0,0,2036,2,0,3,1,8,513,2,6,2009,1965,0
314,178000,60.0,9600,728,712,832,809,0,1641,1,1,3,1,6,546,2,8,2006,1925,0
316,260000,94.0,13005,845,153,1153,1200,0,2353,2,1,4,1,10,484,2,8,2009,1980,0
318,260000,90.0,9900,1347,360,1372,1274,0,2646,2,1,4,1,9,656,3,4,2009,1993,0
319,187500,,14115,1372,336,1472,0,0,1472,2,0,3,1,6,588,2,6,2009,1980,0
320,342643,111.0,16259,1249,1249,1249,1347,0,2596,3,1,4,1,9,840,3,9,2006,2006,0
322,301000,86.0,10380,1502,0,1553,1177,0,2730,2,1,4,1,8,576,2,8,2007,1986,0
324,242000,96.0,11275,710,710,1898,1080,0,2978,2,1,5,1,11,564,2,6,2010,1967,0
325,87000,50.0,5000,720,604,803,0,0,803,1,0,2,1,5,360,2,12,2007,1941,0
326,324000,32.0,10846,1719,100,1719,0,0,1719,1,1,1,1,6,473,2,5,2008,1993,0
329,78000,60.0,6402,596,596,596,596,0,1192,1,0,3,1,6,189,1,7,2009,1920,0
332,284000,85.0,10655,3206,1603,1629,0,0,1629,2,0,3,1,7,880,3,10,2009,2003,0
334,192000,59.0,9042,943,115,943,695,0,1638,2,1,3,1,7,472,2,7,2008,1998,0
335,228950,,164660,1499,103,1619,167,0,1786,2,0,3,1,7,529,2,8,2008,1965,0
336,377426,86.0,14157,1922,673,1922,0,0,1922,2,0,3,1,8,676,3,7,2007,2005,0
337,214000,70.0,9135,1536,726,1536,0,0,1536,2,0,3,1,7,532,2,12,2008,2002,0
339,155000,66.0,12400,1215,630,1215,0,0,1215,1,0,3,1,6,297,1,6,2009,1958,0
340,202900,85.0,14191,967,967,993,915,0,1908,2,1,4,1,9,431,2,4,2010,2002,0
343,266000,63.0,8849,1684,1656,1684,0,0,1684,2,0,2,1,6,564,2,7,2008,2005,0
344,85000,36.0,2592,536,175,536,576,0,1112,1,1,3,1,4,336,1,4,2010,1976,0
345,140200,65.0,6435,972,972,972,605,0,1577,1,0,3,1,6,312,1,10,2006,1939,0
347,157500,,17600,1478,208,1478,0,0,1478,2,0,3,1,6,498,2,12,2009,1960,0
348,154000,36.0,2448,764,191,764,862,0,1626,2,1,2,1,6,474,2,10,2008,2003,0
349,437154,56.0,20431,1848,438,1848,880,0,2728,2,1,4,1,10,706,3,4,2006,2005,0
350,318061,68.0,7820,1869,1869,1869,0,0,1869,2,0,2,1,6,617,2,12,2007,2007,0
352,95000,60.0,9084,616,0,616,495,0,1111,1,0,3,1,5,200,1,3,2008,1941,0
355,177500,105.0,11249,1200,322,1200,0,0,1200,2,0,3,1,6,521,2,8,2007,1995,0
356,173000,,9248,1158,598,1167,0,0,1167,2,0,3,1,6,400,2,7,2009,1992,0
358,130000,92.0,6930,1062,468,1352,0,0,1352,1,0,3,1,6,288,1,7,2006,1958,0
359,280000,78.0,12011,1086,130,1086,838,0,1924,2,1,3,1,7,592,2,6,2006,1998,0
360,156000,,7540,888,115,912,0,0,912,1,0,2,1,5,470,2,6,2007,1978,0
363,118000,21.0,1680,483,321,483,504,0,987,1,1,2,1,5,264,1,5,2009,1972,0
364,190000,,18800,796,84,790,784,0,1574,2,1,3,1,6,566,2,7,2006,1976,0
365,147000,59.0,10690,672,216,672,672,0,1344,1,0,3,1,6,468,1,7,2009,1920,0
366,159000,,9500,1394,785,1394,0,0,1394,1,1,3,1,6,514,2,7,2009,1963,0
367,165000,101.0,9150,1099,728,1431,0,0,1431,1,0,3,1,6,296,1,12,2008,1962,0
368,132000,78.0,7800,1268,728,1268,0,0,1268,1,0,2,1,7,244,1,3,2010,1954,0
369,162000,,9830,1063,733,1287,0,0,1287,1,0,3,1,7,576,2,3,2010,1959,0
370,172400,,8121,953,953,953,711,0,1664,2,1,3,1,7,460,2,1,2006,2000,0
372,125000,50.0,7175,744,0,752,0,0,752,1,0,2,1,4,264,1,2,2010,1984,0
374,219500,65.0,8200,847,847,847,1081,0,1928,2,1,4,1,8,434,2,7,2007,2003,0
377,340000,102.0,11143,1580,1580,1580,886,0,2466,3,0,4,1,8,610,2,12,2007,2004,0
378,394432,88.0,11394,1856,411,1856,0,0,1856,1,1,1,1,8,834,3,6,2010,2010,0
379,179000,60.0,8123,982,982,1007,793,0,1800,2,1,3,1,7,463,2,6,2009,2000,0
380,127000,50.0,5000,1026,808,1026,665,0,1691,2,0,3,1,6,308,1,5,2010,1924,0
381,187750,60.0,7200,1293,1293,1301,0,0,1301,2,0,2,1,5,572,2,8,2006,2006,0
382,213500,79.0,9245,939,939,939,858,0,1797,2,1,3,1,8,639,2,4,2007,2006,0
383,76000,60.0,9000,784,784,784,0,0,784,1,0,2,1,5,360,2,10,2009,1928,0
384,240000,,53107,1580,595,1079,874,0,1953,2,1,3,1,9,501,2,6,2007,1992,0
385,192000,43.0,3182,1256,1232,1269,0,0,1269,2,0,2,1,6,430,2,4,2010,2004,0
387,125000,72.0,7200,1041,410,1125,0,0,1125,1,0,3,1,6,352,1,10,2009,1976,0
389,426000,96.0,12474,1682,402,1742,590,0,2332,2,1,3,1,9,846,3,8,2008,2007,0
